MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CHE,Switzerland,2017,2017,NBR,Number,0,Units,,,317.4077,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CHE,Switzerland,2018,2018,NBR,Number,0,Units,,,319.2158,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CHE,Switzerland,2019,2019,NBR,Number,0,Units,,,317.5109,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CHE,Switzerland,2020,2020,NBR,Number,0,Units,,,332.8778,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),TUR,Türkiye,2015,2015,NBR,Number,0,Units,,,152.9583,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),TUR,Türkiye,2016,2016,NBR,Number,0,Units,,,169.4581,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),TUR,Türkiye,2017,2017,NBR,Number,0,Units,,,186.744,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),TUR,Türkiye,2018,2018,NBR,Number,0,Units,,,222.8333,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),TUR,Türkiye,2019,2019,NBR,Number,0,Units,,,184.45,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),TUR,Türkiye,2020,2020,NBR,Number,0,Units,,,202.8167,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),GBR,United Kingdom,2015,2015,NBR,Number,0,Units,,,1328.2839,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),GBR,United Kingdom,2016,2016,NBR,Number,0,Units,,,1407.8606,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),GBR,United Kingdom,2017,2017,NBR,Number,0,Units,,,1449.3745,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),GBR,United Kingdom,2018,2018,NBR,Number,0,Units,,,1426.7488,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),GBR,United Kingdom,2019,2019,NBR,Number,0,Units,,,1276.4284,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),GBR,United Kingdom,2020,2020,NBR,Number,0,Units,,,1321.9266,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),USA,United States,2015,2015,NBR,Number,0,Units,,,16648.9168,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),USA,United States,2016,2016,NBR,Number,0,Units,,,16708.7986,,
